,Sentences
0,"COVID-19 can present as a mild upper respiratory tract illness.

There is a close genetic relatedness between severe acute respiratory syndrome coronavirus (SARS-CoV) and the causative agent of COVID-19, SARS-CoV-2"
1,"Whereas positive SARS-CoV-2 detection in clinical specimens from the upper respiratory tract has been described 9 , these observations do not address principal differences between SARS and COVID-19 in terms of clinical pathology"
2,"In cases when this initial diagnostic testing was done by other laboratories, the original samples were retrieved and re-tested under the rigorous quality standards of the present study.

To first understand whether the described clinical presentations are solely caused by SARS-CoV-2 infection, samples from all patients were tested against a panel of typical agents of respiratory viral infection, including HCoV-HKU1, -OC43, -NL63, -229E; Influenza virus A and B, Rhinovirus, Enterovirus, Respiratory syncytial virus, Human Parainfluenza virus 1-4, Human metapneumovirus, Adenovirus, and Human bocavirus"
3,"Together, these data indicate active replication of SARS-CoV-2 in the throat during the first 5 days after symptoms onset"
4,"The two patients who showed some signs of pneumonia were the only cases where sputum viral loads showed a late and high peak around day 10/11, whereas sputum viral loads were on the decline by this time in all other patients (Figure 2 F,G) .

Seroconversion was detected by IgG and IgM immunofluorescence using cells expressing the spike protein of SARS-CoV-2 and a virus neutralization assay using SARS-CoV-2 ( Table   3 )"
5,"At the same time, the concurrent use of ACE-2 as a receptor by SARS-CoV and SARS-CoV-2 corresponds to a highly similar excretion kinetic in sputum, with active replication in the lung"
6,"Whereas proof of replication by histopathology is awaited, extended tissue tropism of SARS-CoV-2 with replication in the throat is strongly supported by our studies of sgRNAtranscribing cells in throat swab samples, particularly during the first 5 days of symptoms.

Striking additional evidence for independent replication in the throat is provided by sequence findings in one patient who consistently showed a distinct virus in her throat as opposed to the lung"
7,"Critically, the majority of patients in the present study seemed to be already beyond One of the most interesting hypotheses to explain a potential extension of tropism to the throat is the presence of a polybasic furin-type cleavage site at the S1-S2 junction in the SARS-CoV-2 spike protein that is not present in SARS-CoV 17 "
8,"Replication in the gastrointestinal tract is also supported by analogy with SARS-CoV, which was regularly excreted in stool, from which it could be isolated in cell culture 23 .

Our failure to isolate live SARS-CoV-2 from stool may be due to the mild courses of cases, with only one case showing intermittent diarrhea"
9,Further studies should therefore address whether SARS-CoV-2 shed in stool is rendered non-infectious though contact with the gut environment
10,"This assay used cloned CoV spike protein from HCoV-229E, HCoV-NL63, HCoV-OC43, HCoV-HKU1, and SARS-CoV-2"
11,"A/H1N1pdm09 has subsequently transitioned into a seasonal pattern causing winter epidemics in temperate climates.

Here we use data on seasonal variation in prevalence of seasonal CoVs in Sweden and model the impact of this variation on the possible future spread of SARS-CoV-2 in the temperate zone of the Northern Hemisphere"
12,"We also explore different scenarios of SARS-CoV-2 spread in temperate and tropical regions and show how variation in epidemiological parameters affects a potential pandemic and the possibility of transitioning to an endemic state.

Data on seasonal variation of HKU1, NL63, OC43 and 229E diagnoses in respiratory samples was obtained from the routine molecular diagnostics at the Karolinska University Hospital, Stockholm, Sweden"
13,"The strength of variation of the transmission rate through the year could be of high relevance to the spread of SARS-CoV-2 in 2020 and following years.

We consider simple SIR models (Kermack and McKendrick, 1991) with an additional category E of exposed individuals of the form

where β(t) is the rate at which an infected individual infects a susceptible one, µ is the inverse incubation time, ν is the recovery rate and b is the population turn-over rate.

Depending on the analysis below, we implement several such populations that exchange individuals through migration, for details see Supplementary Methods"
14,"The qualitative behavior of the fit is robust to uncertainty in R 0 and the frequency of reinfection b.

The analysis of seasonal CoV prevalence patterns allowed us to constrain parameter ranges and explore different scenarios of SARS-CoV-2 spread around the globe, in particular in temperate climates like Northern Europe.

Here we explore scenarios where temperate regions have a seasonal forcing of between ε = 0.3 and 0.7 and migration rates of 0.01/year"
15,3 shows simulated trajectories of SARS-CoV-2 prevalence in the temperate Northern Hemisphere assuming the outbreak started in Hubei early December 2019
16,"Depending whether the peak transmissibility of SARS-CoV-2 in the northern temperate zone is in November, January, or March, the simulation predicts a main peak in the first half of 2020, a main peak in winter 2020/2021, or two similarly sized peaks.

To explore possible scenarios more systematically, we ran such simulations for a range of values for R 0 and peak transmissibility θ and recorded whether we observe and early peak, a late peak, or a two peaks"
17,"We have witnessed such rapid dispersal to SARS-CoV-2 to many countries across the globe during January and February 2020.

Every location has a different socio-economic profile such that the growth rate of the epidemic (and hence R 0 ) might differ"
18,"7 .

After several years, SARS-CoV-2 could become a seasonal CoV with characteristic winter outbreaks as shown in Fig"
19,"4 is run for 12 years, with the added assumption that after infection an individual become susceptible to SARS-CoV-2 again at a rate of 0.1 per year as we assumed for seasonal CoV above"
20,"After a pronounced low in 2020-2024, prevalence recovers and settles into a seasonal pattern, similar to that of the four existing seasonal CoVs.

We report on the possible influence of seasonal variation on the spread of SARS-CoV-2 in the Northern Hemisphere, in a pandemic scenario"
21,We find that seasonal variation in transmissibility has the potential to modulate the spread of SARS-CoV-2 with a wide range of possible outcomes that need to be taken into account when interpreting case counts and projecting the outbreak dynamics
22,"The onset of spring and summer could, for example, give the impression that SARS-CoV-2 has been successfully contained, only for infections to increase again in 2020-2021 winter season"
23,"/2020 If previously infected individuals can be reinfected after some time, as for example by seasonal influenza virus, SARS-CoV-2 could develop into a seasonal CoV that returns every winter"
24,"The results we present are critically dependent on the assumptions i) that the outbreak will develop into a pandemic, ii) that the transmissibility of SARS-CoV-2 shows seasonal variability of sufficient strength (range ε = 0.3 to 0.7), and iii) that parameters like R 0 estimated from the early phase of the outbreak are comparable in other populations"
25,"These assumptions are not implausible but not certain: cases of SARS-CoV-2 has been in several countries in Asia apart from China, as well as in Europe, Africa, North America, and Australia (WHO Emergency Committee, 2020b), and mild or asymptomatic cases make detection and thus prevention of spread by isolation challenging, e.g"
26,"It should be noted, however, that SARS-CoV-2 does seem to transmit in tropical climates like Singapore, and so winter is not a necessary condition of SARS-CoV-2 spread"
27,(2020) showing that recent trends in different regions across East-Asia imply that seasonality alone is unlikely to end SARS-CoV-2 spread
